Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Éverson,Atlético Mineiro,Atlético Mineiro,GK,GK,0,33,2500000,2025-12-31,11,1138,Brazil,Brazil,right,192,86,no,0.08,11.701074,5.1415,4.109318,60.0,-0.299,1.34,1.66,0.601010101010101,2.506329113924051,MG,Testing,2024,0.01132742997340749,0.01662217756415726,0.01397480376878238
1,Rafael Cabral,Cruzeiro,Cruzeiro,GK,GK,0,33,600000,2024-12-31,11,1154,Brazil,"Brazil, Portugal",right,186,83,no,0.23,11.000462,2.809352,1.640364,78.38,0.149,0.94,1.48,0.7854671280276817,4.661290322580645,MG,Testing,2024,0.7564131884644355,0.6746256608652289,0.7155194246648322
2,Felipe Garcia,Tombense,Tombense,GK,GK,0,36,200000,,8,841,Brazil,Brazil,right,193,92,no,0.7525,9.1,2.678625,1.604412,73.53,-0.123,1.5,1.07,0.7362637362637363,3.791666666666667,MG,Testing,2024,0.7673133091189517,0.7002109003738572,0.7337621047464045
3,Dalberson,América Mineiro,América Mineiro,GK,GK,0,27,200000,2024-06-30,9,926,Brazil,Brazil,left,191,85,no,0.39,14.573562,1.459052,0.9736550000000002,84.38,0.502,1.46,1.26,0.842443729903537,6.346938775510204,MG,Testing,2024,1.0,1.0,1.0
4,Thiago Braga,Pouso Alegre,Pouso Alegre,GK,GK,0,39,100000,,12,1270,Brazil,Brazil,right,187,81,no,0.4259999999999999,6.23638,3.259215999999999,2.7675,59.09,0.133,1.77,1.28,0.5918803418803419,2.450261780104712,MG,Testing,2024,0.2095596734493117,0.1554886712612517,0.1825241723552817
5,Jefferson Luis,Athletic Club,Athletic Club,GK,GK,0,29,0,2024-11-30,10,1057,Brazil,Brazil,right,192,84,no,0.5142599999999999,8.174571,2.637915,2.387,78.72,0.191,0.6,1.02,0.7875,4.705882352941177,MG,Testing,2024,0.8107440047563772,0.7612799905437806,0.7860119976500789
6,Rafael Pin,Uberlândia,Uberlândia,GK,GK,0,31,0,,9,928,Brazil,Brazil,right,186,80,no,0.1,6.012851,3.488485,3.391531,67.65,-0.2,1.16,1.26,0.6757575757575758,3.08411214953271,MG,Testing,2024,0.1293602193668509,0.1618363362544802,0.1455982778106655
7,Glaycon,Villa Nova,Villa Nova,GK,GK,0,35,0,,6,632,Brazil,Brazil,right,192,95,no,0.57,8.397381999999999,3.416972,2.986752,62.5,-0.386,1.85,1.14,0.6257309941520468,2.671875,MG,Testing,2024,0.1830307793878531,0.2314836181595757,0.2072571987737144
8,Cairo,Patrocinense,Patrocinense,GK,GK,0,39,0,,7,725,Brazil,Brazil,right,0,0,no,0.246679,8.935878,2.978898,3.099876,59.38,-0.254,1.61,1.49,0.5944584382871536,2.46583850931677,MG,Testing,2024,0.0,0.0,0.0
9,Elias,Itabirito,Itabirito,GK,GK,0,28,0,,8,864,Brazil,Brazil,right,187,74,no,0.21,13.331484,3.855654,3.334716,70.73,0.056,1.04,0.73,0.7072599531615924,3.415999999999999,MG,Testing,2024,0.4022070446138545,0.3211065764540026,0.3616568105339286
10,Luis Augusto,Democrata GV,Democrata GV,GK,GK,0,30,0,,11,1165,Brazil,Brazil,,191,85,no,0.462834,11.12139,2.85847,2.703261,71.62,-0.133,1.08,1.39,0.7167832167832168,3.530864197530864,MG,Testing,2024,0.6125940651913365,0.5193383162909854,0.565966190741161
11,Douglas Baldini,Ipatinga,Ipatinga,GK,GK,0,29,0,,6,645,Brazil,Brazil,,194,84,no,0.14,9.35,2.234385,2.233902,66.67,0.015,0.56,1.95,0.6672794117647058,3.005524861878453,MG,Testing,2024,0.1384993896101713,0.1102254598847276,0.1243624247474494
0,A. Rossi,Flamengo,Flamengo,GK,GK,0,28,7000000,,10,1032,Argentina,"Argentina, Italy",right,193,95,no,0.0,10.722439,2.18,2.009205,100.0,0.17,1.31,0.61,1.0,0.0,RJ,Testing,2024,0.700189393396627,0.7722576621856104,0.7362235277911187
1,Léo Jardim,Vasco da Gama,Vasco da Gama,GK,GK,0,28,3000000,2025-12-31,11,1184,Brazil,"Brazil, Italy",right,188,82,no,0.153341,8.82,2.586246,2.430461,83.02,0.286,0.91,0.38,0.8312655086848635,5.926470588235294,RJ,Testing,2024,0.6775772428751317,0.7063834430243178,0.6919803429497247
2,R. Fernández,Botafogo,Botafogo,GK,GK,0,35,600000,2024-12-31,11,1154,Paraguay,Paraguay,right,191,81,no,0.391651,7.954287999999999,3.27726,2.260713,67.57,0.051,0.78,0.78,0.6747404844290658,3.074468085106383,RJ,Testing,2024,0.4084568252925302,0.3276171441190509,0.3680369847057905
3,Fábio,Fluminense,Fluminense,GK,GK,0,43,200000,,6,634,Brazil,"Brazil, Italy",right,190,93,no,0.4274999999999999,11.494456,0.9974999999999998,0.4274999999999999,76.19,0.007,1.14,0.71,0.761744966442953,4.19718309859155,RJ,Testing,2024,0.6421140839567097,0.6863105829198969,0.6642123334383032
4,Mota,Madureira,Madureira,GK,GK,0,38,100000,,11,1105,Brazil,Brazil,right,195,86,no,0.326683,7.33125,2.934,2.279886,75.51,0.376,1.71,1.3,0.7543859649122807,4.071428571428572,RJ,Testing,2024,0.9214908473124677,0.9694990484603897,0.9454949478864287
5,Fabrício,Nova Iguaçu,Nova Iguaçu,GK,GK,0,38,100000,,13,1394,Brazil,Brazil,right,193,93,no,0.350007,7.980335999999999,5.529719999999998,4.619748,75.47,0.183,1.82,1.12,0.7547169811320755,4.076923076923077,RJ,Testing,2024,1.0,1.0,1.0
6,André Luiz,Boavista,Boavista,GK,GK,0,24,100000,,15,1588,Brazil,Brazil,right,189,79,no,0.507284,8.950368,2.378244,1.985568,68.09,-0.202,1.19,1.59,0.6810506566604128,3.135294117647059,RJ,Testing,2024,0.5752269822501657,0.5422829774327761,0.5587549798414708
7,Gabriel Leite,Bangu,Bangu,GK,GK,0,36,0,,9,969,Brazil,Brazil,right,187,82,no,0.09,13.284114,3.717483,2.32128,68.97,-0.166,0.65,1.21,0.6901669758812616,3.227544910179641,RJ,Testing,2024,0.0,0.0,0.0
8,Anderson Max,Audax Rio,Audax Rio,GK,GK,0,37,0,,9,959,Brazil,Brazil,right,189,84,no,0.28,6.098642,2.0625,2.1564,73.33,0.119,1.03,1.6,0.7322274881516588,3.734513274336283,RJ,Testing,2024,0.5348921392608841,0.5497124530925147,0.5423022961766994
9,Dida,Portuguesa RJ,Portuguesa RJ,GK,GK,0,38,0,,12,1168,Brazil,Brazil,,190,81,no,0.2475,6.5965,1.253301,1.005,75.61,0.0,1.42,1.42,0.7573099415204678,4.120481927710843,RJ,Testing,2024,0.5379904348807651,0.5938190028948099,0.5659047188877875
10,Paulo Henrique,Volta Redonda,Volta Redonda,GK,GK,0,29,0,,11,1171,Brazil,Brazil,right,184,75,no,0.383318,8.763091999999999,2.999405,2.539596,60.42,-0.211,1.08,1.08,0.6043360433604337,2.527397260273973,RJ,Testing,2024,0.3500331311355305,0.2486254392327157,0.2993292851841231
11,Leandro Matheus,Sampaio Corrêa RJ,Sampaio Corrêa RJ,GK,GK,0,23,0,,11,1167,Brazil,Brazil,left,191,0,no,0.6133409999999999,8.325664,3.702,2.77508,75.76,0.009,1.08,1.39,0.7583497053045187,4.138211382113821,RJ,Testing,2024,0.755703700883237,0.8653147893078127,0.8105092450955249
0,A. Marchesín,Grêmio,Grêmio,GK,GK,0,35,3000000,2025-06-30,7,701,Argentina,"Argentina, Italy",right,188,85,no,0.44,6.04,3.237934,3.093491,74.07,-0.13,1.18,1.03,0.7412060301507537,3.864077669902913,RS,Testing,2024,0.510016170127876,0.4584011311192885,0.4769376510143152
1,Anthoni,Internacional,Internacional,GK,GK,0,22,300000,2024-12-31,13,1238,Brazil,Brazil,right,193,88,no,0.55,9.33,2.510183,2.353752,75.86,-0.064,1.25,1.25,0.7577092511013216,4.127272727272727,RS,Testing,2024,0.6526553739139282,0.6104376503564729,0.6263525026398167
2,Ruan Carneiro,Avenida,Avenida,GK,GK,0,33,150000,,11,1123,Brazil,Brazil,right,195,89,no,0.48,10.819998,2.486692,2.487397,76.19,-0.156,2.32,1.36,0.7626112759643917,4.212499999999999,RS,Testing,2024,0.7384137016439072,0.6809993737473364,0.705614333253768
3,Alexander,Ypiranga Erechim,Ypiranga Erechim,GK,GK,0,24,100000,2025-12-31,8,804,Brazil,Brazil,right,190,85,yes,0.5625,7.498133,2.46186,2.013434,77.14,-0.093,2.35,1.46,0.7704081632653061,4.355555555555555,RS,Testing,2024,0.7951922165653134,0.7463950877609737,0.76756257962271
4,Raul Steffens,Botafogo,São Luiz,GK,GK,0,26,100000,,11,1073,Brazil,Brazil,right,190,78,no,0.08,7.8,4.191210000000001,3.688628,74.29,0.018,0.84,0.59,0.7448979591836735,3.92,RS,Testing,2024,0.3035079781804655,0.3161221733934475,0.3000856874977925
5,Marcelo Pitol,Santa Cruz RS,Santa Cruz RS,GK,GK,0,41,0,,8,788,Brazil,Brazil,right,192,87,no,0.23,6.165704000000001,3.429454000000001,2.629781,66.67,-0.443,0.91,0.46,0.6666666666666667,3.0,RS,Testing,2024,0.0,0.03344925503873075,0.00286360627937737
6,Lucas Maticoli,Novo Hamburgo,Novo Hamburgo,GK,GK,0,27,0,,11,1075,Brazil,Brazil,,0,0,no,0.2775,4.568664000000001,1.920736,1.82616,62.86,0.011,1.1,0.64,0.628125,2.689075630252101,RS,Testing,2024,0.0278016554751718,0.0,0.0
7,Fábio Rampi,EC São José,EC São José,GK,GK,0,35,0,,12,1229,Brazil,Brazil,right,184,80,no,0.51,7.2468,3.439443,3.3672,77.08,0.053,1.17,0.44,0.7698863636363636,4.345679012345679,RS,Testing,2024,0.6412829119039971,0.6279521287663237,0.6294668021812247
8,Gabriel Oliveira,Brasil de Pelotas,Brasil de Pelotas,GK,GK,0,28,0,,12,1196,Brazil,Brazil,right,185,80,no,0.7545529999999999,8.578968000000001,3.086848,2.561868,80.39,0.328,2.11,1.28,0.8046875,5.12,RS,Testing,2024,1.0,1.0,1.0
9,Rodrigo Mamá,Guarany de Bagé,Guarany de Bagé,GK,GK,0,40,0,,12,1186,Brazil,Brazil,right,188,90,no,0.608,7.97204,3.568224,3.11036,71.64,0.143,1.67,1.44,0.7165354330708662,3.527777777777778,RS,Testing,2024,0.5905614444230813,0.6025388820628551,0.5908628177514903
10,Lucas Wingert,Juventude,Juventude,GK,GK,0,24,0,,9,816,Brazil,Brazil,left,200,96,no,0.33,11.798374,1.326733,0.77,70.37,0.063,1.21,1.1,0.7046979865771812,3.386363636363636,RS,Testing,2024,0.3018009924198333,0.3255650188896259,0.3040081427401987
11,Caíque,Grêmio,Grêmio,GK,GK,0,26,0,2025-12-31,7,705,Brazil,Brazil,left,198,100,no,0.635727,4.341564000000001,3.702985,3.954416,84.85,0.209,2.3,1.15,0.847980997624703,6.578125,RS,Testing,2024,0.934039575879055,0.9638586940309826,0.9482294819010395
12,Fabian Volpi,Caxias,Caxias,GK,GK,0,26,0,,13,1261,Brazil,Brazil,right,186,80,no,0.8462000000000001,6.379311,3.6155,3.534487,62.79,-0.11,2.23,1.0,0.6272727272727272,2.682926829268292,RS,Testing,2024,0.3152280277972764,0.2962985129362554,0.2959767646488922
0,João Paulo,Santos,Santos,GK,GK,0,28,7000000,2027-12-31,15,1505,Brazil,Brazil,right,189,86,no,0.42,9.329984999999999,3.827166,3.172766,78.18,0.111,1.5,1.14,0.7811550151975684,4.569444444444445,SP,Testing,2024,0.7478359053843331,0.7587302557349487,0.7559831095378112
1,Cleiton,Red Bull Bragantino,Red Bull Bragantino,GK,GK,0,26,4500000,2024-12-31,11,1095,Brazil,Brazil,right,190,82,no,0.82,13.476859,6.161292,5.916131,76.92,0.121,1.89,2.63,0.7694704049844237,4.337837837837838,SP,Testing,2024,0.849284684132632,0.8952158379396551,0.8755237532717887
2,Weverton,Palmeiras,Palmeiras,GK,GK,0,36,3000000,2026-12-31,13,1286,Brazil,Brazil,right,189,85,no,0.140007,13.369496,4.549944,4.690154,78.43,0.034,1.19,1.26,0.7843137254901961,4.636363636363636,SP,Testing,2024,0.6820379113417121,0.6384434672677443,0.6624922215415403
3,Cássio,Corinthians,Corinthians,GK,GK,0,36,1000000,2024-12-31,10,1003,Brazil,Brazil,right,196,92,no,0.180009,10.050855,2.243324,2.513,58.06,-0.145,1.08,1.79,0.579136690647482,2.376068376068376,SP,Testing,2024,0.001853182833565017,0.0,0.0
4,Max Walef,Inter de Limeira,Inter de Limeira,GK,GK,0,30,1000000,2024-06-30,11,1092,Brazil,Brazil,right,185,84,no,0.45,20.209664,4.578221999999999,4.041505,77.19,0.41,1.62,1.44,0.771484375,4.376068376068377,SP,Testing,2024,0.7893209382579858,0.8024192575172887,0.7987754111264349
5,Jordi,Grêmio Novorizontino,Grêmio Novorizontino,GK,GK,0,30,800000,2024-12-31,13,1290,Brazil,Brazil,right,192,92,no,1.05,8.58091,4.323564,3.904555999999999,76.92,-0.021,3.14,2.44,0.7683823529411765,4.317460317460318,SP,Testing,2024,1.0,0.9922587346264613,1.0
6,Rafael,São Paulo,São Paulo,GK,GK,0,34,400000,2025-12-31,11,1126,Brazil,Brazil,left,192,81,no,0.160008,14.55,3.43992,2.719872,67.5,-0.136,1.28,1.04,0.675,3.076923076923077,SP,Testing,2024,0.2048533191873843,0.2106433759488567,0.2078187090716656
7,Luiz Daniel,Santo André,Santo André,GK,GK,0,30,250000,,12,1198,Brazil,Brazil,right,186,84,no,0.38,6.314598,3.227699,3.158107,62.22,-0.203,1.13,1.58,0.621301775147929,2.640625,SP,Testing,2024,0.1262554195673716,0.1529741725312568,0.1393567300971459
8,Alex Muralha,Mirassol,Mirassol,GK,GK,0,34,250000,,11,1095,Brazil,Brazil,right,188,89,no,0.738,14.134102,0.987355,0.655959,63.41,-0.149,1.23,0.82,0.6350148367952522,2.739837398373984,SP,Testing,2024,0.2593709127844699,0.2909048824481684,0.2755331002292829
9,João Carlos,Botafogo SP,Botafogo SP,GK,GK,0,35,200000,,8,800,Brazil,Brazil,right,191,92,no,0.226678,7.98741,2.9276,2.251748,64.52,-0.047,1.13,1.58,0.6446991404011462,2.814516129032258,SP,Testing,2024,0.2031706166404784,0.1910475866817631,0.1971281782927334
10,Vladimir,Guarani,Guarani,GK,GK,0,34,200000,2025-12-31,7,729,Brazil,Brazil,right,191,93,yes,0.12,5.93,1.358372,1.233395,65.22,-0.026,0.99,0.86,0.6514084507042253,2.868686868686869,SP,Testing,2024,0.1391005597488068,0.1157351296536777,0.1271009851942187
11,Ygor Vinhas,Água Santa,Água Santa,GK,GK,0,29,200000,2024-11-30,11,1102,Brazil,Brazil,right,192,88,no,0.08,15.516928,3.922203999999999,2.287715,77.08,0.231,0.98,1.47,0.7704081632653061,4.355555555555555,SP,Testing,2024,0.6497565317744384,0.6343769319511775,0.644230659293033
12,Alex Alves,São Bernardo FC,São Bernardo FC,GK,GK,0,37,200000,,12,1193,Brazil,Brazil,right,191,88,no,0.62125,13.4109,3.467486,3.019435,84.44,0.44,2.13,0.89,0.845,6.451612903225807,SP,Testing,2024,0.9382297994814968,1.0,0.9728553132821113
13,Jefferson Paulino,Ituano,Ituano,GK,GK,0,32,200000,,12,1181,Brazil,Brazil,right,185,71,no,0.0,15.430616,3.462472,3.135132,69.09,0.084,0.82,1.48,0.6916299559471366,3.242857142857143,SP,Testing,2024,0.3128015750793709,0.3454163520827466,0.3297643255352254
14,Pedro Rocha,Ponte Preta,Ponte Preta,GK,GK,0,25,0,2024-07-26,13,1296,Brazil,Brazil,right,196,93,no,0.279986,8.472492,4.5125,4.031079999999999,78.08,0.455,1.81,1.39,0.7810650887573964,4.567567567567568,SP,Testing,2024,0.7857154369982101,0.8193479448552294,0.805469115364832
15,Thomazella,Portuguesa,Portuguesa,GK,GK,0,33,0,2024-04-30,13,1316,Brazil,Brazil,right,191,89,no,0.272,7.253285,2.391529999999999,2.116823,60.47,-0.458,0.96,0.96,0.6054421768707483,2.53448275862069,SP,Testing,2024,0.0,0.01546215910410008,0.006837288138729573
