Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Progressivos_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,L. Romero,Cruzeiro,Cruzeiro,"RDMF, RCMF, LCMF",RDMF,7,29,3200000,2025-12-31,8,758,Argentina,Argentina,right,170,68,no,6.41,2.72986,0.237274,6.059444,MG,Testing,2024,0.5700953032801431,0.513394197479293,0.5417447503797181
1,R. Battaglia,Atlético Mineiro,Atlético Mineiro,"LDMF, LCMF, RCMF",LDMF,7,32,1500000,2024-12-31,8,747,Argentina,"Argentina, Italy",right,187,78,no,6.39,2.88982,1.446364,3.255308,MG,Testing,2024,0.1693931391513041,0.1797932291331275,0.1745931841422158
2,Lucas Silva,Cruzeiro,Cruzeiro,"LDMF, RCMF, LCMF",LDMF,7,31,1000000,,10,866,Brazil,Brazil,right,181,76,no,6.55,3.53052,0.935,4.576,MG,Testing,2024,0.417704065327927,0.378083461277366,0.3978937633026465
3,Wallisson,Athletic Club,Athletic Club,"LDMF, RDMF, RCMF",LDMF,7,26,500000,2025-12-31,7,664,Brazil,Brazil,right,184,73,no,11.93,6.234590000000001,1.62448,3.797691,MG,Testing,2024,0.8968685730350926,0.9261418486884647,0.9115052108617787
4,Alê,América Mineiro,América Mineiro,"DMF, LDMF",DMF,7,33,400000,2025-12-31,8,728,Brazil,Brazil,right,184,74,no,7.66,3.706965,1.48426,5.072124,MG,Testing,2024,0.7478529820492824,0.7207627155506391,0.7343078487999608
5,Diego Fumaça,Athletic Club,Athletic Club,"RDMF, LDMF, RCMF",RDMF,7,29,150000,,10,1012,Brazil,Brazil,right,176,75,no,7.56,3.823911,1.247344,4.269744,MG,Testing,2024,0.5479033070330591,0.5040728380508119,0.5259880725419355
6,Jorge Pedra,Democrata GV,Democrata GV,"RDMF, LDMF, DMF",RDMF,7,24,150000,,10,813,Brazil,Brazil,left,0,0,no,7.86,3.32242,0.553505,4.65,MG,Testing,2024,0.5119988958665063,0.426703094081092,0.4693509949737992
7,Lucas Vital,Villa Nova,Villa Nova,"DMF, LCMF, RDMF",DMF,7,22,100000,,6,598,Brazil,Brazil,,178,72,no,4.52,2.406214,1.35375,3.612702,MG,Testing,2024,0.0,0.0,0.0
8,Mikael,Tombense,Tombense,"DMF, LDMF, RCMF",DMF,7,30,50000,,8,651,Brazil,Brazil,right,184,83,no,9.12,3.320166,3.041986,3.320832,MG,Testing,2024,0.7045682428513323,0.6242889216731198,0.664428582262226
9,Henrique Rocha,Pouso Alegre,Pouso Alegre,"DMF, LCMF",DMF,7,27,0,,12,938,Brazil,Brazil,unknown,0,0,no,9.02,4.41507,0.862134,2.686607,MG,Testing,2024,0.5211445152465672,0.4250200851554671,0.4730823002010172
10,Davi Lopes,Ipatinga,Ipatinga,"DMF, LDMF, LCMF",DMF,7,31,0,,6,529,Brazil,Brazil,,0,0,no,8.17,4.085292000000001,0.679932,4.25625,MG,Testing,2024,0.4885948415345942,0.4665556180500586,0.4775752297923264
11,Gabriel Galhardo,XV de Piracicaba,Patrocinense,"DMF, RDMF, RCMF",DMF,7,30,0,,7,705,Brazil,Brazil,right,170,65,no,8.3,5.358233999999999,0.512,6.379415,MG,Testing,2024,1.0,1.0,1.0
12,Alemão,Democrata GV,Democrata GV,"LDMF, RDMF, LCMF",LDMF,7,36,0,,11,991,Brazil,Brazil,right,0,0,no,3.54,2.270688,0.4545,7.081312,MG,Testing,2024,0.4659100870021179,0.4560971925748614,0.4610036397884897
0,Danilo Barbosa,Botafogo,Botafogo,"DMF, RCB",DMF,7,28,2500000,2025-06-30,8,694,Brazil,Brazil,right,183,74,no,7.13,2.853844,1.815328,5.574954,RJ,Testing,2024,0.953297327955461,0.8780761394591768,0.9156867337073189
1,William Oliveira,Boavista,Boavista,"DMF, RCMF",DMF,7,32,300000,,13,1207,Brazil,Brazil,right,182,80,no,7.31,2.533947,0.743508,4.322080000000001,RJ,Testing,2024,0.7998700246348684,0.6636894256002346,0.7317797251175515
2,Wagninho,Madureira,Madureira,"DMF, RCMF, LDMF",DMF,7,23,0,,10,870,Brazil,Brazil,right,186,0,no,8.28,4.344977000000001,1.1396,3.92916,RJ,Testing,2024,1.0,1.0,1.0
3,Danrley,Volta Redonda,Volta Redonda,"DMF, RCMF, LCMF",DMF,7,22,0,,7,508,Brazil,Brazil,right,182,83,no,5.49,2.304262,0.706702,2.660615,RJ,Testing,2024,0.1547102824396894,0.1737350334504451,0.1642226579450673
4,Walney,Bangu,Bangu,"DMF, RCMF",DMF,7,27,0,,9,598,Brazil,Brazil,,0,0,no,4.97,2.709564,0.7534810000000001,5.115412,RJ,Testing,2024,0.6018884604259743,0.5996594876910558,0.6007739740585151
5,Felipe Andrade,Fluminense,Fluminense,"RDMF, DMF, RCMF",RDMF,7,21,0,2024-12-31,7,599,Brazil,Brazil,right,182,76,no,7.07,3.89125,0.708,3.008137,RJ,Testing,2024,0.5443599823423662,0.5074156759095398,0.525887829125953
6,Rodrigo Dantas,Sampaio Corrêa RJ,Sampaio Corrêa RJ,"DMF, LCMF",DMF,7,34,0,,12,987,Brazil,Brazil,right,182,75,no,5.02,1.915,0.180009,2.825045,RJ,Testing,2024,0.0,0.0,0.0
7,Igor Guilherme,Nova Iguaçu,Nova Iguaçu,"RDMF, RCMF",RDMF,7,27,0,,12,846,Brazil,Brazil,,0,0,no,9.07,5.234164,0.8128009999999999,3.489269999999999,RJ,Testing,2024,0.8530899831706831,0.8868059622401079,0.8699479727053955
8,Ronald,Nova Iguaçu,Nova Iguaçu,"LDMF, RCMF, LCMF",LDMF,7,27,0,,13,725,Brazil,Brazil,,0,0,no,6.69,3.212676,0.90125,4.243722,RJ,Testing,2024,0.718897784064306,0.7153421864671816,0.7171199852657438
9,Albert,Nova Iguaçu,Nova Iguaçu,"LDMF, RDMF, LCMF",LDMF,7,27,0,,14,1245,Brazil,Brazil,right,0,0,no,6.49,2.294688,1.02923,3.3285,RJ,Testing,2024,0.4097245744522106,0.4338327958571224,0.4217786851546664
0,C. Aránguiz,Internacional,Internacional,"DMF, RCMF",DMF,7,34,3500000,2025-06-30,12,958,Chile,Chile,right,171,69,no,7.78,4.664800000000001,0.104,6.738732,RS,Testing,2024,0.9446258765165931,1.0,0.9921339668296256
1,Jádson,Juventude,Juventude,"RDMF, RCMF",RDMF,7,30,900000,2024-12-31,15,1465,Brazil,Brazil,right,171,67,no,6.82,3.38082,0.43,5.219208,RS,Testing,2024,0.4636128601837267,0.4398205020953416,0.4609251251401364
2,Luís Oyama,Juventude,Juventude,"DMF, LDMF, RCMF",DMF,7,27,800000,2025-12-31,11,544,Brazil,"Brazil, Japan",right,171,69,yes,8.6,4.46463,0.165,4.137345,RS,Testing,2024,0.4913704874236326,0.4844618152202659,0.4978625375061019
3,Dodi,Grêmio,Grêmio,"DMF, LCMF, RW",DMF,7,27,700000,2025-12-31,13,550,Brazil,Brazil,right,169,67,no,11.78,6.217848,0.6544800000000001,2.458235,RS,Testing,2024,0.7852832239962544,0.870853755491923,0.8449490315412961
4,Rômulo,Internacional,Internacional,"DMF, RCMF, RB",DMF,7,24,200000,,12,541,Brazil,Brazil,right,182,75,no,9.48,3.658648,3.827011,3.993533000000001,RS,Testing,2024,0.9217848561954951,0.9113433861331802,0.9352486854833071
5,Caíque Gonçalves,Juventude,Juventude,"LDMF, LCMF, DMF",LDMF,7,28,200000,,11,879,Brazil,Brazil,right,178,71,no,10.14,5.326465999999999,1.435,3.688,RS,Testing,2024,0.8862883133886559,0.8229260432739748,0.8720287230135356
6,Barba,Caxias,Caxias,"DMF, LDMF, RCMF",DMF,7,25,100000,2024-12-31,9,804,Brazil,Brazil,right,177,71,yes,7.52,2.46339,1.11,3.202056,RS,Testing,2024,0.1086105452736485,0.1219001434099013,0.1176048754271977
7,Anderson Uchôa,Ypiranga Erechim,Ypiranga Erechim,"DMF, LCMF, LDMF",DMF,7,33,0,,11,1080,Brazil,Brazil,right,178,68,no,7.08,2.581416,2.25207,5.16925,RS,Testing,2024,0.6210593704424346,0.5721124830470619,0.6087475942840515
8,Bruno Camilo,Avenida,Avenida,"RDMF, AMF, RCMF",RDMF,7,26,0,,10,807,Brazil,Brazil,right,173,70,no,4.57,1.785812,0.335,7.141750000000001,RS,Testing,2024,0.4643502560818674,0.5000231146492752,0.4920162738563566
9,Jhonata Lima,Avenida,Avenida,"LDMF, LCMF, RDMF",LDMF,7,31,0,,10,844,Brazil,Brazil,right,186,72,no,6.4,2.453504,1.174335,4.15727,RS,Testing,2024,0.1455604687002716,0.1619214881466769,0.1568750561529904
10,Jeferson Lopes,Brasil de Pelotas,Brasil de Pelotas,"RDMF, RCMF, LDMF",RDMF,7,27,0,,7,508,Brazil,Brazil,,184,76,no,7.26,2.305754,0.7075,2.83647,RS,Testing,2024,0.0,0.0,0.0
11,Lucas Hulk,São Luiz,São Luiz,"DMF, LCMF",DMF,7,31,0,,10,711,Brazil,Brazil,,0,0,no,12.03,6.711565,2.533612,2.533536,RS,Testing,2024,1.0,0.9600436448423045,1.0
0,Pablo Maia,São Paulo,São Paulo,"LDMF, LCMF, RCMF",LDMF,7,22,6000000,2027-12-31,11,1020,Brazil,Brazil,right,178,72,no,9.0,4.055854,0.440865,5.470056,SP,Testing,2024,0.9262074284817167,0.9761962589001822,0.9512018436909493
1,Diego Pituca,Santos,Santos,"RDMF, RCMF",RDMF,7,31,1700000,,14,1337,Brazil,Brazil,left,178,69,no,6.73,3.094236,0.6075,4.103596,SP,Testing,2024,0.05430697839749617,0.03290076748218973,0.04360387293984294
2,Zé Ricardo,Portuguesa,Portuguesa,"DMF, LCMF, RDMF",DMF,7,28,1200000,,10,802,Brazil,Brazil,right,176,74,no,9.2,4.038,1.006386,4.261972,SP,Testing,2024,0.7558880068073414,0.7276186368380986,0.7417533218227199
3,Raniele,Corinthians,Corinthians,"DMF, RCMF, RDMF",DMF,7,27,1000000,2026-12-31,11,1047,Brazil,Brazil,right,184,78,no,8.85,3.784172,2.750838,3.43746,SP,Testing,2024,0.5961789506466603,0.609454909201341,0.6028169299240006
4,João Schmidt,Santos,Santos,"LDMF, LCMF",LDMF,7,30,800000,,15,1292,Brazil,Brazil,left,183,80,no,10.66,5.155788,1.67195,5.156318,SP,Testing,2024,1.0,1.0,1.0
5,Alisson,São Paulo,São Paulo,"RDMF, RCMF",RDMF,7,30,600000,2024-12-31,12,989,Brazil,Brazil,right,174,73,no,6.46,3.003,1.001,4.822818,SP,Testing,2024,0.4024739049147938,0.4093494426877095,0.4059116738012516
6,Emerson Santos,Inter de Limeira,Inter de Limeira,"DMF, CB",DMF,7,28,500000,2025-01-01,12,1058,Brazil,Brazil,right,184,75,no,8.27,2.79,1.02376,3.161235,SP,Testing,2024,0.2087150909105647,0.1486264570364219,0.1786707739734933
7,Miquéias,Ituano,Ituano,"LDMF, RDMF, RCMF",LDMF,7,22,0,,10,651,Brazil,Brazil,right,187,74,yes,6.09,3.624768,1.157261,3.335232,SP,Testing,2024,0.0,0.0,0.0
